Name,Artists,Main Artist,Year,Album,New Path
Thunder,Gabry Ponte,Gabry Ponte,2021-05-07,Thunder,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Gabry Ponte\Thunder\033 - Gabry Ponte - Thunder.mp3
Koala,Galantis,Galantis,2023-08-30,Koala,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Galantis\Koala\169 - Galantis - Koala.mp3
abcdefu,GAYLE,GAYLE,2021-08-13,abcdefu,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\GAYLE\abcdefu\017 - GAYLE - abcdefu.mp3
Somebody Else's Baby,Gia Woods,Gia Woods,2023-09-27,Somebody Else's Baby,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Gia Woods\Somebody Else's Baby\241 - Gia Woods - Somebody Else's Baby.mp3
Heat Waves,Glass Animals,Glass Animals,2020-08-07,Dreamland,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Glass Animals\Dreamland\041 - Glass Animals - Heat Waves.mp3
Heat Waves,Glass Animals,Unknown,2020-06-29,Heat Waves,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\Unknown\Unknown\Heat Waves\034 - Glass Animals - Heat Waves.mp3
Bessa Beat,Glue Trip,Glue Trip,2022-07-28,Nada Tropical,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Glue Trip\Nada Tropical\202 - Glue Trip - Bessa Beat.mp3
Somebody That I Used To Know,Gotye,Gotye,2011-01-01,Making Mirrors,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\G\Gotye\Making Mirrors\094 - Gotye - Somebody That I Used To Know.mp3
Mimi Arrives,Hans Zimmer,Hans Zimmer,2023-03-17,The Night Logan Woke Up (Original Series Soundtrack),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\H\Hans Zimmer\The Night Logan Woke Up (Original Series Soundtrack)\105 - Hans Zimmer - Mimi Arrives.mp3
Human,Hardwell,Hardwell,2023-09-01,Human,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\H\Hardwell\Human\166 - Hardwell - Human.mp3
As It Was,Harry Styles,Harry Styles,2022-03-31,As It Was,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\H\Harry Styles\As It Was\016 - Harry Styles - As It Was.mp3
Sahara,Hensonn,Hensonn,2021-11-16,Sahara,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\H\Hensonn\Sahara\316 - Hensonn - Sahara.mp3
I've Been Nothing but Funny and Sexy to You,iamnotshane,iamnotshane,2023-03-08,I've Been Nothing but Funny and Sexy to You,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\iamnotshane\I've Been Nothing but Funny and Sexy to You\242 - iamnotshane - I've Been Nothing but Funny and Sexy to You.mp3
Bones,Imagine Dragons,Imagine Dragons,2022-03-11,Bones,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imagine Dragons\Bones\032 - Imagine Dragons - Bones.mp3
Enemy (from the series Arcane League of Legends),Imagine Dragons,Imagine Dragons,2021-10-28,Enemy (from the series Arcane League of Legends),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imagine Dragons\Enemy (from the series Arcane League of Legends)\019 - Imagine Dragons - Enemy (from the series Arcane League of Legends).mp3
Believer,Imagine Dragons,Imagine Dragons,2018-02-23,Evolve,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imagine Dragons\Evolve\036 - Imagine Dragons - Believer.mp3
Follow You,Imagine Dragons,Imagine Dragons,2021-03-12,Follow You / Cutthroat,
Demons,Imagine Dragons,Imagine Dragons,2012-01-01,Night Visions,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imagine Dragons\Night Visions\050 - Imagine Dragons - Demons.mp3
Radioactive,Imagine Dragons,Imagine Dragons,2012-01-01,Night Visions,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imagine Dragons\Night Visions\053 - Imagine Dragons - Radioactive.mp3
Natural,Imagine Dragons,Imagine Dragons,2018-11-09,Origins (Deluxe),\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imagine Dragons\Origins (Deluxe)\074 - Imagine Dragons - Natural.mp3
Wrecked,Imagine Dragons,Imagine Dragons,2021-07-02,Wrecked,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imagine Dragons\Wrecked\045 - Imagine Dragons - Wrecked.mp3
Belly Dancer,Imanbek,Imanbek,2022-02-18,Belly Dancer,\\MYCLOUD-HE1NBD\alex\@MULTIMEDIA\MUSIQUES_plex\_output\I\Imanbek\Belly Dancer\038 - Imanbek - Belly Dancer.mp3
